"Block B, United Mansion",22.3059767,114.1691789,5
Kam Po Building,22.4452,114.028125,1
1 Temple Street,22.311707,114.1700271,5
Wanchai House,22.2759249,114.1742414,2
"Block A, Shui King Building",22.369405,114.1392077,2
17 Pak Hoi Street,22.3078608,114.1717495,2
"Woo Shui House, Shui Pin Wai Estate",22.4456664,114.0210417,1
Vico Mansion,22.3057489,114.1710688,1
"Tsui Cheung House, Tsui Ping (North) Estate",22.3135723,114.229321,1
21 Pitt Street,22.31355,114.168066,3
"On Hing House, Hing Wah (II) Estate",22.264479,114.234251,1
One Pacific Heights,22.2865817,114.146699,1
Man Fai Building,22.3075319,114.1658116,1
"Block C, Sun Kwai Hing Gardens",22.363058,114.13075,1
"Larkspur House, So Uk Estate",22.3411232,114.1565588,1
Sheung On Mansion,22.306019,114.169289,4
"Block R, Luk Yeung Sun Chuen",22.3740119,114.1186646,3
"Yan Wah House, Lok Wah North Estate",22.3208182,114.2197615,4
18 Ferry Street,22.3063118,114.1673338,1
157 Temple Street,22.3067719,114.1699829,1
"Wan Luen Home For Elderly, Cheong Yuen Building",22.3286581,114.1579159,1
"Ming King House, Lai King Estate",22.3500305,114.1263314,3
Shing Wah Building,22.359303,114.1272507,1
25 Pitt Street,22.313568,114.168143,6
"Hoi Tien Mansion, Taikoo Shing",22.286436,114.2168,4
"Yuet Tin House, Yan Tin Estate",22.414411,113.9766664,1
Kak Tin Village Nam Kau,22.367032,114.183494,12
"Block 2, Greenview Court",22.3702982,114.0980196,3
Thompson Building,22.277265,114.173706,1
"Hing Wah House, Third Street",22.2857499,114.1420078,1
"Block 5, Laguna City",22.3056798,114.2271384,7
"Block 5, Site 11 - Bauhinia Mansions, Whampoa Garden",22.306041,114.191194,1
"On Tai Mansion, 69 Winslow Street",22.3064826,114.1836695,1
"Block 4, Site 3 - Willow Mansions, Whampoa Garden",22.306041,114.191194,2
184 Shanghai Street,22.307509,114.16991,1
"Block B, United Mansion, Yau Ma Tei",22.305739,114.169124,1
Kimberley Hotel,22.3005805,114.1737669,2
"Tak Shan House, Tak Long Estate",22.32985,114.2042924,2
Dorsett Wanchai,22.274559,114.178936,1
"Block 1, Kingsford Terrace",22.3406051,114.210513,1
"Yuen Kwai Building, Whampoa Estate",22.306488,114.187622,1
Apex Horizon Suites,22.3668047,114.1371047,1
"Block B, Shun Lee Building",22.2778,114.173522,1
174 Shanghai Street,22.3072567,114.1698634,1
Po Fung Building,22.2901676,114.1981132,1
Cheong Lok Mansion,22.3076711,114.1831818,4
"Chung Wa House, Tin Chung Court",22.4604586,114.0000824,3
"Shui Yee House, Tin Shui Estate",22.4579627,113.9970909,1
"Choi Wah House, Choi Yuen Estate",22.500838,114.12619,1
Len Shing Mansion,22.2871859,114.2141121,1
"Block 3, Lung Mun Oasis",22.3847347,113.9665087,1
27 Pitt Street,22.3136449,114.1682383,1
Fu Ming Court,22.318175,114.168112,4
139 Woosung Street,22.3050075,114.169922,1
18 Reclamation Street,22.3066373,114.1692746,4
"Bo Lun Building, Yau Ma Tei",22.3071468,114.1689467,1
5-7 Waterloo Road,22.3130609,114.169857,1
Siu Hing Building,22.3055798,114.1698988,2
542-544 Canton Road,22.3067634,114.1683645,1
"Yu Chai House, Yu Chui Court",22.3799295,114.2051592,1
"Ching On House, Tsz Ching Estate",22.349888,114.202634,1
"44 Broadway, Stage 2, Mei Foo Sun Chuen",22.3354667,114.1390583,1
25 Reclamation Street,22.315053,114.168487,1
